Si. No.,Category,State/UT/City,Dangerous or Careless Driving/ Over-taking/etc. - Cases,Dangerous or Careless Driving/ Over-taking/etc. - Injured,Dangerous or Careless Driving/ Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes - Cases,Weather Condition (Others Causes - Injured,Weather Condition (Others Causes - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
1,State,Andhra Pradesh,3300,3630,1221,12344,13774,4778,154,168,94,29,35,7,23,18,17,67,58,26,207,178,85,116,99,52,91,79,33,20,11,15,133,131,51,163,98,77,1484,1574,668,17924,19675,7039,0,0,0,17924,19675,7039
2,State,Arunachal Pradesh,25,15,15,39,32,23,0,0,0,0,0,0,10,13,6,0,0,0,13,13,9,3,4,1,10,9,8,19,17,10,0,0,0,9,9,8,44,44,19,159,143,90,0,0,0,159,143,90
3,State,Assam,1169,893,462,3293,2530,1377,491,345,183,55,41,12,271,322,106,96,65,39,902,578,472,333,215,144,569,363,328,180,128,62,70,33,34,110,46,33,100,84,33,6737,5065,2813,1,0,1,6738,5065,2814
4,State,Bihar,2564,1936,1881,3674,3072,2785,152,170,131,87,65,84,197,160,140,149,109,117,1064,806,985,790,615,669,274,191,316,193,129,145,159,184,139,181,182,141,219,206,150,8639,7019,6698,0,0,0,8639,7019,6698
5,State,Chhattisgarh,2116,1907,994,7807,7200,2914,130,121,40,36,20,9,95,76,15,179,121,43,274,217,79,58,61,15,216,156,64,95,66,6,123,118,43,303,209,191,516,494,282,11674,10549,4616,0,0,0,11674,10549,4616
6,State,Goa,1357,514,103,981,343,112,11,7,1,3,1,0,1,1,0,13,4,4,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,1,1,0,4,2,1,2375,875,224,0,0,0,2375,875,224
7,State,Gujarat,1146,1016,629,11273,9988,5018,108,72,40,172,176,64,156,168,69,90,74,54,203,281,183,76,141,99,127,140,84,33,22,25,71,63,44,74,53,35,81,71,39,13407,11984,6200,0,0,0,13407,11984,6200
8,State,Haryana,3541,2810,1764,4650,3765,2287,82,66,23,51,43,21,2,2,1,41,19,22,437,396,190,331,297,144,106,99,46,5,4,3,47,33,21,476,346,219,174,143,80,9506,7627,4631,0,0,0,9506,7627,4631
9,State,Himachal Pradesh,1287,1864,463,768,1073,281,66,90,44,0,0,0,27,61,20,0,0,0,45,65,31,13,20,8,32,45,23,2,4,1,10,12,13,0,0,0,30,39,11,2235,3208,864,0,0,0,2235,3208,864
10,State,Jharkhand,824,690,601,2515,1709,1683,561,468,315,89,76,112,157,103,120,88,87,103,69,60,42,46,45,23,23,15,19,37,34,36,18,18,9,0,0,0,47,50,23,4405,3295,3044,0,0,0,4405,3295,3044
